"","no","title","artist","year"
"423","23","Glad All Over","The Dave Clark Five","1964"
"424","24","Rag Doll","The Four Seasons","1964"
"425","25","Dawn (Go Away)","The Four Seasons","1964"
"426","26","Bread and Butter","The Newbeats","1964"
"427","27","It Hurts to Be in Love","Gene Pitney","1964"
"428","28","Dead Man's Curve","Jan and Dean","1964"
"429","29","Come a Little Bit Closer","Jay and the Americans","1964"
"430","30","A World Without Love","Peter and Gordon","1964"
"431","31","Have I the Right?","The Honeycombs","1964"
"432","32","Don't Let the Rain Come Down (Crooked Little Man)","The Serendipity Singers","1964"
"433","33","Baby Love","The Supremes","1964"
"434","34","Let It Be Me","Betty Everett & Jerry Butler","1964"
"435","35","Wishin' and Hopin'","Dusty Springfield","1964"
"436","36","You Don't Own Me","Lesley Gore","1964"
"437","37","Walk On By","Dionne Warwick","1964"
"438","38","The House of the Rising Sun","The Animals","1964"
"439","39","G.T.O.","Ronny & the Daytonas","1964"
"440","40","Twist and Shout","The Beatles","1964"
"441","41","Memphis","Johnny Rivers","1964"
"442","42","White On White","Danny Williams","1964"
"443","43","Hey Little Cobra","The Rip Chords","1964"
"444","44","The Shoop Shoop Song (It's in His Kiss)","Betty Everett","1964"
"445","45","Bits and Pieces","The Dave Clark Five","1964"
"446","46","My Boy Lollipop","Millie Small","1964"
"447","47","Um, Um, Um, Um, Um, Um","Major Lance","1964"
"448","48","The Little Old Lady from Pasadena","Jan and Dean","1964"
"449","49","Don't Let the Sun Catch You Crying","Gerry and the Pacemakers","1964"
"450","50","A Summer Song","Chad & Jeremy","1964"
"451","51","The Girl from Ipanema","Stan Getz & Astrud Gilberto","1964"
"452","52","Can't Buy Me Love","The Beatles","1964"
"453","53","Remember (Walking in the Sand)","The Shangri-Las","1964"
"454","54","C'mon and Swim","Bobby Freeman","1964"
"455","55","Do You Want to Know a Secret","The Beatles","1964"
"456","56","Keep On Pushing","The Impressions","1964"
"457","57","Baby I Need Your Loving","The Four Tops","1964"
"458","58","Navy Blue","Diane Renay","1964"
"459","59","Diane","The Bachelors","1964"
"460","60","Out of Limits","The Marketts","1964"
"461","61","Little Honda","The Hondells","1964"
"462","62","See the Funny Little Clown","Bobby Goldsboro","1964"
"463","63","Because","The Dave Clark Five","1964"
"464","64","(Just Like) Romeo and Juliet","The Reflections","1964"
"465","65","For You","Rick Nelson","1964"
"466","66","Today","The New Christy Minstrels","1964"
"467","67","Can't You See That She's Mine","The Dave Clark Five","1964"
"468","68","Leader of the Pack","The Shangri-Las","1964"
"469","69","Funny How Time Slips Away","Joe Hinton","1964"
"470","70","The Way You Do the Things You Do","The Temptations","1964"
"471","71","Anyone Who Had a Heart","Dionne Warwick","1964"
"472","72","I Love You More and More Every Day","Al Martino","1964"
"473","73","It's Over","Roy Orbison","1964"
"474","74","Ronnie","The Four Seasons","1964"
"475","75","Surfin' Bird","The Trashmen","1964"
"476","76","What Kind of Fool (Do You Think I Am)","The Tams","1964"
"477","77","The Door Is Still Open to My Heart","Dean Martin","1964"
"478","78","You Really Got Me","The Kinks","1964"
"479","79","The Shelter of Your Arms","Sammy Davis Jr.","1964"
"480","80","I'm So Proud","The Impressions","1964"
"481","81","I Wanna Love Him So Bad","The Jelly Beans","1964"
"482","82","Chug-a-Lug","Roger Miller","1964"
"483","83","Dang Me","Roger Miller","1964"
"484","84","Cotton Candy","Al Hirt","1964"
"485","85","(You Don't Know) How Glad I Am","Nancy Wilson","1964"
"486","86","Money (That's What I Want)","The Kingsmen","1964"
"487","87","Don't Throw Your Love Away","The Searchers","1964"
"488","88","Hi-Heel Sneakers","Tommy Tucker","1964"
"489","89","How Do You Do It?","Gerry and the Pacemakers","1964"
"490","90","Walk, Don't Run '64","The Ventures","1964"
"491","91","Do You Love Me","The Dave Clark Five","1964"
"492","92","Shangri-La","Robert Maxwell","1964"
"493","93","Haunted House","Jumpin' Gene Simmons","1964"
"494","94","Steal Away","Jimmy Hughes","1964"
"495","95","I Saw Her Standing There","The Beatles","1964"
"496","96","A Fool Never Learns","Andy Williams","1964"
"497","97","Bad to Me","Billy J. Kramer & The Dakotas","1964"
"498","98","There! I've Said It Again","Bobby Vinton","1964"
"499","99","Louie Louie","The Kingsmen","1964"
"500","100","Needles and Pins","The Searchers","1964"
"501","1","Wooly Bully","Sam the Sham and the Pharaohs","1965"
"502","2","I Can't Help Myself (Sugar Pie Honey Bunch)","Four Tops","1965"
"503","3","(I Can't Get No) Satisfaction","The Rolling Stones","1965"
"504","4","You Were on My Mind","We Five","1965"
"505","5","You've Lost That Lovin' Feelin'","The Righteous Brothers","1965"
"506","6","Downtown","Petula Clark","1965"
"507","7","Help!","The Beatles","1965"
"508","8","Can't You Hear My Heartbeat","Herman's Hermits","1965"
"509","9","Crying in the Chapel","Elvis Presley","1965"
"510","10","My Girl","The Temptations","1965"
"511","11","Help Me, Rhonda","The Beach Boys","1965"
"512","12","King of the Road","Roger Miller","1965"
"513","13","The Birds and the Bees","Jewel Akens","1965"
