"","no","title","artist","year"
"514","14","Hold Me, Thrill Me, Kiss Me","Mel Carter","1965"
"515","15","Shotgun","Junior Walker & the All Stars","1965"
"516","16","I Got You Babe","Sonny & Cher","1965"
"517","17","This Diamond Ring","Gary Lewis & the Playboys","1965"
"518","18","The 'In' Crowd","Ramsey Lewis Trio","1965"
"519","19","Mrs. Brown, You've Got a Lovely Daughter","Herman's Hermits","1965"
"520","20","Stop! In the Name of Love","The Supremes","1965"
"521","21","Unchained Melody","The Righteous Brothers","1965"
"522","22","Silhouettes","Herman's Hermits","1965"
"523","23","I'll Never Find Another You","The Seekers","1965"
"524","24","Cara Mia","Jay and the Americans","1965"
"525","25","Mr. Tambourine Man","The Byrds","1965"
"526","26","Cast Your Fate to the Wind","Sounds Orchestral","1965"
"527","27","Yes, I'm Ready","Barbara Mason","1965"
"528","28","What's New Pussycat?","Tom Jones","1965"
"529","29","Eve of Destruction","Barry McGuire","1965"
"530","30","Hang On Sloopy","The McCoys","1965"
"531","31","Ticket to Ride","The Beatles","1965"
"532","32","Red Roses for a Blue Lady","Bert Kaempfert","1965"
"533","33","Papa's Got a Brand New Bag","James Brown","1965"
"534","34","Game of Love","Wayne Fontana & The Mindbenders","1965"
"535","35","The Name Game","Shirley Ellis","1965"
"536","36","I Know a Place","Petula Clark","1965"
"537","37","Back in My Arms Again","The Supremes","1965"
"538","38","Baby I'm Yours","Barbara Lewis","1965"
"539","39","The Jolly Green Giant","The Kingsmen","1965"
"540","40","Hush, Hush, Sweet Charlotte","Patti Page","1965"
"541","41","Like a Rolling Stone","Bob Dylan","1965"
"542","42","I'm Telling You Now","Freddie and the Dreamers","1965"
"543","43","Ferry Cross the Mersey","Gerry and the Pacemakers","1965"
"544","44","Just Once in My Life","The Righteous Brothers","1965"
"545","45","The Seventh Son","Johnny Rivers","1965"
"546","46","I'm Henry the Eighth, I Am","Herman's Hermits","1965"
"547","47","A Walk in the Black Forest","Horst Jankowski","1965"
"548","48","For Your Love","The Yardbirds","1965"
"549","49","California Girls","The Beach Boys","1965"
"550","50","Go Now","The Moody Blues","1965"
"551","51","Goldfinger","Shirley Bassey","1965"
"552","52","Down in the Boondocks","Billy Joe Royal","1965"
"553","53","Baby the Rain Must Fall","Glenn Yarbrough","1965"
"554","54","Catch Us If You Can","The Dave Clark Five","1965"
"555","55","Eight Days a Week","The Beatles","1965"
"556","56","Just a Little","The Beau Brummels","1965"
"557","57","You Turn Me On","Ian Whitcomb","1965"
"558","58","I'll Be Doggone","Marvin Gaye","1965"
"559","59","Save Your Heart for Me","Gary Lewis & the Playboys","1965"
"560","60","Tired of Waiting for You","The Kinks","1965"
"561","61","Count Me In","Gary Lewis & the Playboys","1965"
"562","62","All Day and All of the Night","The Kinks","1965"
"563","63","What the World Needs Now Is Love","Jackie DeShannon","1965"
"564","64","It's Not Unusual","Tom Jones","1965"
"565","65","She's About a Mover","Sir Douglas Quintet","1965"
"566","66","Shake","Sam Cooke","1965"
"567","67","Wonderful World","Herman's Hermits","1965"
"568","68","Nowhere to Run","Martha and the Vandellas","1965"
"569","69","Heart Full of Soul","The Yardbirds","1965"
"570","70","Love Potion No. 9","The Searchers","1965"
"571","71","Laurie (Strange Things Happen)","Dickey Lee","1965"
"572","72","Baby Don't Go","Sonny & Cher","1965"
"573","73","It Ain't Me Babe","The Turtles","1965"
"574","74","Tell Her No","The Zombies","1965"
"575","75","I Go to Pieces","Peter and Gordon","1965"
"576","76","Red Roses for a Blue Lady","Vic Dana","1965"
"577","77","Don't Just Stand There","Patty Duke","1965"
"578","78","The Tracks of My Tears","The Miracles","1965"
"579","79","Too Many Rivers","Brenda Lee","1965"
"580","80","I Like It Like That","The Dave Clark Five","1965"
"581","81","Little Things","Bobby Goldsboro","1965"
"582","82","True Love Ways","Peter and Gordon","1965"
"583","83","It's the Same Old Song","Four Tops","1965"
"584","84","You've Got Your Troubles","The Fortunes","1965"
"585","85","Hold What You've Got","Joe Tex","1965"
"586","86","We Gotta Get out of This Place","The Animals","1965"
"587","87","Laugh, Laugh","The Beau Brummels","1965"
"588","88","The Last Time","The Rolling Stones","1965"
"589","89","Do You Believe in Magic","The Lovin' Spoonful","1965"
"590","90","All I Really Want to Do","Cher","1965"
"591","91","Take Me Back","Little Anthony and the Imperials","1965"
"592","92","I Want Candy","The Strangeloves","1965"
"593","93","Ooo Baby Baby","The Miracles","1965"
"594","94","Laugh at Me","Sonny","1965"
"595","95","Treat Her Right","Roy Head","1965"
"596","96","The Race Is On","Jack Jones","1965"
"597","97","I'm a Fool","Dino, Desi & Billy","1965"
"598","98","The Boy from New York City","The Ad Libs","1965"
"599","99","Keep Searchin' (We'll Follow the Sun)","Del Shannon","1965"
"600","100","How Sweet It Is (To Be Loved by You)","Marvin Gaye","1965"
"601","1","Ballad of the Green Berets","SSgt. Barry Sadler","1966"
"602","2","Cherish","The Association","1966"
"603","3","(You're My) Soul and Inspiration","The Righteous Brothers","1966"
"604","4","Reach Out I'll Be There","Four Tops","1966"
"605","5","96 Tears","? and the Mysterians","1966"
"606","6","Last Train to Clarksville","The Monkees","1966"
"607","7","Monday, Monday","The Mamas & the Papas","1966"
"608","8","You Can't Hurry Love","The Supremes","1966"
"609","9","Poor Side of Town","Johnny Rivers","1966"
"610","10","California Dreamin'","The Mamas & the Papas","1966"
"611","11","Summer In The City","The Lovin' Spoonful","1966"
"612","12","Born Free","Roger Williams","1966"
"613","13","These Boots Are Made for Walkin'","Nancy Sinatra","1966"
"614","14","What Becomes of the Brokenhearted","Jimmy Ruffin","1966"
"615","15","Strangers in the Night","Frank Sinatra","1966"
"616","16","We Can Work It Out","The Beatles","1966"
"617","17","Good Lovin'","The Young Rascals","1966"
"618","18","Winchester Cathedral","The New Vaudeville Band","1966"
"619","19","Hanky Panky","Tommy James and the Shondells","1966"
"620","20","When a Man Loves a Woman","Percy Sledge","1966"
"621","21","Paint It, Black","The Rolling Stones","1966"
"622","22","My Love","Petula Clark","1966"
"623","23","Lightnin' Strikes","Lou Christie","1966"
"624","24","Wild Thing","The Troggs","1966"
"625","25","Kicks","Paul Revere & the Raiders","1966"
"626","26","Sunshine Superman","Donovan","1966"
"627","27","Sunny","Bobby Hebb","1966"
"628","28","Paperback Writer","The Beatles","1966"
"629","29","See You In September","The Happenings","1966"
"630","30","You Keep Me Hangin' On","The Supremes","1966"
"631","31","Li'l Red Riding Hood","Sam the Sham and the Pharaohs","1966"
"632","32","Devil with a Blue Dress On/Good Golly Miss Molly","Mitch Ryder & the Detroit Wheels","1966"
"633","33","Good Vibrations","The Beach Boys","1966"
"634","34","A Groovy Kind of Love","The Mindbenders","1966"
"635","35","You Don't Have To Say You Love Me","Dusty Springfield","1966"
"636","36","Cool Jerk","The Capitols","1966"
"637","37","Born a Woman","Sandy Posey","1966"
"638","38","Red Rubber Ball","The Cyrkle","1966"
"639","39","B-A-B-Y","Carla Thomas","1966"
"640","40","Walk Away Renée","The Left Banke","1966"
"641","41","Daydream","The Lovin' Spoonful","1966"
"642","42","Time Won't Let Me","The Outsiders","1966"
"643","43","Hooray for Hazel","Tommy Roe","1966"
"644","44","Sweet Pea","Tommy Roe","1966"
"645","45","Bus Stop","The Hollies","1966"
"646","46","I'm Your Puppet","James & Bobby Purify","1966"
"647","47","I'm So Lonesome I Could Cry","B. J. Thomas","1966"
"648","48","Ain't Too Proud to Beg","The Temptations","1966"
"649","49","Dirty Water","The Standells","1966"
"650","50","Elusive Butterfly","Bob Lind","1966"
"651","51","I Am a Rock","Simon & Garfunkel","1966"
"652","52","Crying Time","Ray Charles","1966"
"653","53","Secret Agent Man","Johnny Rivers","1966"
"654","54","The Sound of Silence","Simon & Garfunkel","1966"
"655","55","Lady Godiva","Peter and Gordon","1966"
"656","56","Homeward Bound","Simon & Garfunkel","1966"
"657","57","Did You Ever Have to Make Up Your Mind?","The Lovin' Spoonful","1966"
"658","58","Barefootin'","Robert Parker","1966"
"659","59","Uptight (Everything's Alright)","Stevie Wonder","1966"
"660","60","Bang Bang (My Baby Shot Me Down)","Cher","1966"
"661","61","Sloop John B","The Beach Boys","1966"
"662","62","19th Nervous Breakdown","The Rolling Stones","1966"
"663","63","Wipe Out","The Surfaris","1966"
"664","64","Psychotic Reaction","Count Five","1966"
"665","65","Beauty Is Only Skin Deep","The Temptations","1966"
"666","66","No Matter What Shape (Your Stomach's In)","The T-Bones","1966"
"667","67","Just Like Me","Paul Revere & the Raiders","1966"
"668","68","Love Makes the World Go Round","Deon Jackson","1966"
"669","69","The Pied Piper","Crispian St. Peters","1966"
"670","70","Coming On Strong","Brenda Lee","1966"
"671","71","Somewhere My Love","Ray Conniff Singers","1966"
"672","72","Almost Persuaded","David Houston","1966"
"673","73","If I Were a Carpenter","Bobby Darin","1966"
"674","74","Don't Mess with Bill","The Marvelettes","1966"
"675","75","Cherry, Cherry","Neil Diamond","1966"
"676","76","Working In The Coal Mine","Lee Dorsey","1966"
"677","77","Message to Michael","Dionne Warwick","1966"
"678","78","Love Is a Hurtin' Thing","Lou Rawls","1966"
"679","79","Barbara Ann","The Beach Boys","1966"
"680","80","Gloria","The Shadows of Knight","1966"
"681","81","My World Is Empty Without You","The Supremes","1966"
"682","82","Rainy Day Women #12 & 35","Bob Dylan","1966"
"683","83","Guantanamera","The Sandpipers","1966"
"684","84","Land of 1000 Dances","Wilson Pickett","1966"
"685","85","Oh How Happy","The Shades of Blue","1966"
"686","86","Woman","Peter and Gordon","1966"
"687","87","You Baby","The Turtles","1966"
"688","88","Five O'Clock World","The Vogues","1966"
"689","89","Black Is Black","Los Bravos","1966"
"690","90","Nowhere Man","The Beatles","1966"
"691","91","Dandy","Herman's Hermits","1966"
"692","92","Baby Scratch My Back","Slim Harpo","1966"
"693","93","She's Just My Style","Gary Lewis & The Playboys","1966"
"694","94","The More I See You","Chris Montez","1966"
"695","95","I Fought the Law","Bobby Fuller Four","1966"
"696","96","Yellow Submarine","The Beatles","1966"
"697","97","Hungry","Paul Revere & the Raiders","1966"
"698","98","Zorba the Greek","Herb Alpert and the Tijuana Brass","1966"
"699","99","Shapes of Things","The Yardbirds","1966"
"700","100","634-5789 (Soulsville, U.S.A.)","Wilson Pickett","1966"
"701","1","To Sir With Love","Lulu","1967"
"702","2","The Letter","The Box Tops","1967"
"703","3","Ode to Billie Joe","Bobbie Gentry","1967"
"704","4","Windy","The Association","1967"
"705","5","I'm a Believer","The Monkees","1967"
"706","6","Light My Fire","The Doors","1967"
"707","7","Somethin' Stupid","Frank & Nancy Sinatra","1967"
"708","8","Happy Together","The Turtles","1967"
"709","9","Groovin'","The Young Rascals","1967"
"710","10","Can't Take My Eyes off You","Frankie Valli","1967"
"711","11","Little Bit O' Soul","The Music Explosion","1967"
"712","12","I Think We're Alone Now","Tommy James and the Shondells","1967"
"713","13","Respect","Aretha Franklin","1967"
"714","14","I Was Made to Love Her","Stevie Wonder","1967"
"715","15","Come Back When You Grow Up","Bobby Vee","1967"
"716","16","Kind of a Drag","The Buckinghams","1967"
"717","17","Sweet Soul Music","Arthur Conley","1967"
"718","18","Expressway to Your Heart","The Soul Survivors","1967"
"719","19","Soul Man","Sam & Dave","1967"
"720","20","Never My Love","The Association","1967"
"721","21","Apples, Peaches, Pumpkin Pie","Jay & the Techniques","1967"
"722","22","Come on Down to My Boat","Every Mother's Son","1967"
"723","23","Incense and Peppermints","Strawberry Alarm Clock","1967"
"724","24","Ruby Tuesday","The Rolling Stones","1967"
"725","25","It Must Be Him","Vikki Carr","1967"
"726","26","Love Is Here and Now You're Gone","The Supremes","1967"
"727","27","For What It's Worth","Buffalo Springfield","1967"
"728","28","Gimme Little Sign","Brenton Wood","1967"
"729","29","The Happening","The Supremes","1967"
"730","30","All You Need Is Love","The Beatles","1967"
"731","31","Release Me","Engelbert Humperdinck","1967"
"732","32","Your Precious Love","Marvin Gaye & Tammi Terrell","1967"
"733","33","Somebody to Love","Jefferson Airplane","1967"
"734","34","Get on Up","The Esquires","1967"
"735","35","Brown Eyed Girl","Van Morrison","1967"
"736","36","Jimmy Mack","Martha and the Vandellas","1967"
"737","37","I Got Rhythm","The Happenings","1967"
"738","38","A Whiter Shade of Pale","Procol Harum","1967"
"739","39","Don't You Care","The Buckinghams","1967"
"740","40","Then You Can Tell Me Goodbye","The Casinos","1967"
"741","41","Reflections","The Supremes","1967"
"742","42","On a Carousel","The Hollies","1967"
"743","43","Please Love Me Forever","Bobby Vinton","1967"
"744","44","Alfie","Dionne Warwick","1967"
"745","45","Silence Is Golden","The Tremeloes","1967"
"746","46","My Cup Runneth Over","Ed Ames","1967"
"747","47","Up, Up and Away","The 5th Dimension","1967"
"748","48","San Francisco (Be Sure to Wear Flowers in Your Hair)","Scott McKenzie","1967"
"749","49","The Rain, The Park & Other Things","The Cowsills","1967"
"750","50","There's a Kind of Hush","Herman's Hermits","1967"
"751","51","Mercy, Mercy, Mercy","The Buckinghams","1967"
"752","52","This Is My Song","Petula Clark","1967"
"753","53","(Your Love Keeps Lifting Me) Higher and Higher","Jackie Wilson","1967"
"754","54","I've Been Lonely Too Long","The Young Rascals","1967"
"755","55","Penny Lane","The Beatles","1967"
"756","56","You're My Everything","The Temptations","1967"
"757","57","Georgy Girl","The Seekers","1967"
"758","58","Western Union","Five Americans","1967"
"759","59","Baby I Love You","Aretha Franklin","1967"
"760","60","A Little Bit Me, a Little Bit You","The Monkees","1967"
"761","61","California Nights","Lesley Gore","1967"
"762","62","Dedicated to the One I Love","The Mamas & the Papas","1967"
"763","63","How Can I Be Sure","The Young Rascals","1967"
"764","64","Carrie Anne","The Hollies","1967"
"765","65","(We Ain't Got) Nothin' Yet","Blues Magoos","1967"
"766","66","Friday on My Mind","The Easybeats","1967"
"767","67","Soul Finger","The Bar-Kays","1967"
"768","68","Gimme Some Lovin'","The Spencer Davis Group","1967"
"769","69","Let It Out (Let It All Hang Out)","The Hombres","1967"
"770","70","Let's Live for Today","The Grass Roots","1967"
"771","71","Close Your Eyes","Peaches & Herb","1967"
"772","72","Groovin'","Booker T & the M.G.'s","1967"
"773","73","Funky Broadway","Wilson Pickett","1967"
"774","74","Pleasant Valley Sunday","The Monkees","1967"
"775","75","I Never Loved a Man (The Way I Love You)","Aretha Franklin","1967"
"776","76","Tell It Like It Is","Aaron Neville","1967"
"777","77","Cold Sweat","James Brown","1967"
"778","78","She'd Rather Be with Me","The Turtles","1967"
"779","79","98.6","Keith","1967"
"780","80","Here We Go Again","Ray Charles","1967"
"781","81","White Rabbit","Jefferson Airplane","1967"
"782","82","Bernadette","Four Tops","1967"
"783","83","The Beat Goes On","Sonny & Cher","1967"
"784","84","Snoopy Vs. The Red Baron","The Royal Guardsmen","1967"
"785","85","Society's Child","Janis Ian","1967"
"786","86","Girl, You'll Be a Woman Soon","Neil Diamond","1967"
"787","87","Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell","1967"
"788","88","I Take It Back","Sandy Posey","1967"
"789","89","Here Comes My Baby","The Tremeloes","1967"
"790","90","Everlasting Love","Robert Knight","1967"
"791","91","I Dig Rock and Roll Music","Peter, Paul and Mary","1967"
"792","92","Little Ole Man (Uptight, Everything's Alright)","Bill Cosby","1967"
"793","93","I Had Too Much to Dream (Last Night)","The Electric Prunes","1967"
"794","94","Daydream Believer","The Monkees","1967"
"795","95","Baby I Need Your Lovin'","Johnny Rivers","1967"
"796","96","Mirage","Tommy James and the Shondells","1967"
"797","97","Green, Green Grass of Home","Tom Jones","1967"
"798","98","I Can See for Miles","The Who","1967"
"799","99","Don't Sleep in the Subway","Petula Clark","1967"
"800","100","Thank The Lord For The Night Time","Neil Diamond","1967"
"801","1","Hey Jude","The Beatles","1968"
"802","2","Love is Blue","Paul Mauriat","1968"
"803","3","Honey","Bobby Goldsboro","1968"
"804","4","(Sittin' On) The Dock of the Bay","Otis Redding","1968"
"805","5","People Got to Be Free","The Rascals","1968"
